ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.3,223.265,11519.047,8.89,333.776,494.158,18.145,73.716,4.881,0
8.5,175.613,11837.123,7.484,308.399,474.24,21.846,52.372,5.083,0
7.1,169.042,36152.821,8.33,329.04,590.749,17.695,103.15,3.996,0
2.6,188.804,34798.253,6.796,333.776,468.08,13.171,49.524,4.765,0
8.5,204.124,22989.796,8.271,358.847,435.001,17.084,62.422,3.876,0
7.1,213.542,22539.712,6.957,334.041,463.399,11.623,69.616,3.399,0
8.9,254.618,9624.3,7.954,348.408,344.303,7.935,78.109,5.526,0
6.1,189.996,27776.901,6.443,347.93,245.86,14.637,73.425,3.977,0
8.4,185.719,13237.99,3.998,308.143,463.647,17.21,48.783,3.962,0
9.3,222.662,12311.268,7.29,332.239,353.74,14.172,66.396,5.24,0
7.9,226.285,12710.249,7.303,346.403,445.374,6.063,63.128,4.239,0
7.7,252.265,36477.738,8.387,426.544,339.411,17.486,60.484,3.725,0
3.4,212.029,20230.126,8.57,349.156,353.913,18.208,82.388,2.799,0
6.7,218.425,21871.839,7.166,333.776,373.05,16.827,74.086,3.902,0
7.1,190.424,28062.642,9.615,357.227,263.772,13.445,67.056,5.629,0
7.2,261.851,14100.969,9.008,358.725,290.424,17.15,82.025,4.597,0
10.1,240.432,15331.303,5.393,361.903,403.042,16.131,61.111,3.426,0
7.4,122.541,8855.114,6.889,241.608,489.852,13.366,66.396,3.149,0
7.8,196.584,42550.842,7.335,333.776,442.546,14.667,66.396,6.205,0
6.9,136.879,27433.587,7.092,307.397,342.196,18.404,81.193,3.828,0
7.1,146.97,16367.458,7.687,333.776,468.945,18.601,49.562,4.664,0
7.1,230.809,27418.781,7.136,369.31,274.661,9.579,72.377,4.198,0
7.5,267.06,26865.374,10.449,333.776,505.709,16.238,57.038,2.881,0
8.6,231.249,28918.42,7.823,369.264,432.285,16.266,73.149,3.773,0
10.3,217.22,27653.235,8.912,369.531,382.952,6.58,59.576,3.285,0
7.1,252.67,29368.674,9.906,433.952,465.217,13.221,84.199,5.053,0
7.4,207.717,24913.837,9.616,362.3,363.169,11.543,67.721,4.413,0
11.2,228.301,16600.393,6.094,333.776,504.051,15.035,110.739,3.81,0
6.5,202.286,17087.077,6.202,326.662,481.772,16.535,46.206,3.549,0
6.6,151.89,10909.195,3.75,240.937,437.909,15.265,64.204,3.813,0
5.0,155.321,34971.807,7.121,320.115,500.637,18.312,63.193,3.245,0
6.9,155.74,17973.179,4.916,275.908,439.648,18.381,55.507,2.612,0
8.0,245.895,32170.069,9.636,399.583,473.662,11.728,23.817,3.552,0
6.1,197.502,35957.792,8.13,379.528,360.06,20.098,41.866,4.202,0
6.2,191.909,28149.412,7.13,319.307,448.243,19.37,60.939,4.509,0
6.1,160.767,14775.146,7.484,305.829,327.27,12.309,69.038,3.467,0
8.1,177.899,27834.218,9.006,334.439,397.021,15.936,81.391,3.363,0
9.6,202.014,13041.829,5.821,327.119,433.382,14.139,63.549,3.763,0
8.2,200.914,27141.363,7.262,344.161,525.599,16.142,66.231,4.289,0
8.6,270.023,15791.675,5.913,333.776,672.557,20.184,54.961,3.569,0
7.1,167.386,20944.621,4.963,333.776,566.339,11.319,66.396,3.68,0
6.8,187.052,46140.127,6.138,352.702,373.427,12.606,58.752,3.027,0
7.9,204.274,25145.024,7.923,338.214,469.487,15.993,86.167,4.158,0
5.0,220.849,21802.745,6.251,311.598,386.413,18.035,53.908,3.422,0
6.2,192.937,13442.603,5.819,325.907,533.796,14.688,60.485,3.549,0
7.1,157.001,20067.105,8.071,333.776,490.91,17.323,71.969,4.418,0
9.8,264.266,8471.677,8.35,359.269,353.196,15.047,52.645,4.637,0
9.6,152.862,23641.703,6.926,333.148,417.167,16.67,89.998,4.92,0
5.2,104.752,20060.079,6.914,333.776,368.815,15.14,98.657,3.203,0
7.6,199.653,16312.155,9.901,358.566,420.534,10.539,100.243,2.927,0
5.8,155.051,24909.444,6.531,297.009,313.702,11.705,85.688,4.689,0
6.6,197.227,17657.084,4.506,290.29,254.393,9.848,73.75,4.576,0
4.8,180.773,13556.734,8.977,322.062,587.395,12.401,62.028,4.419,0
7.9,238.236,19129.458,5.852,333.776,434.655,8.663,67.304,3.692,0
6.9,216.785,19991.239,7.302,340.106,356.459,9.614,61.123,2.125,0
7.1,281.269,22452.091,6.774,343.636,395.342,14.903,67.125,4.444,0
7.1,190.779,12224.311,4.646,308.565,399.271,11.877,61.887,3.463,0
8.5,212.581,34406.776,8.679,384.855,477.343,13.802,66.396,3.772,0
7.7,233.948,21667.869,6.313,340.273,472.259,14.4,36.578,3.721,0
7.1,247.662,19549.499,8.77,333.776,438.866,16.625,64.949,3.778,0
8.9,241.875,22821.254,8.55,367.976,380.197,10.859,75.857,4.602,0
6.2,153.221,17358.796,8.215,328.282,481.196,14.274,62.718,4.335,0
6.1,141.492,9615.833,7.628,277.952,415.009,16.436,50.694,4.634,0
7.1,202.255,11981.74,9.189,339.984,416.589,14.079,62.766,2.679,0
7.3,274.705,14600.54,8.106,384.565,415.607,16.762,68.937,3.696,0
7.1,170.099,39906.19,6.555,333.776,515.387,13.516,40.514,4.353,0
8.6,201.569,26473.713,6.967,352.307,309.983,17.665,68.665,5.263,0
7.1,205.509,20406.928,6.81,355.266,482.33,12.338,70.581,4.103,0
8.2,127.145,10280.929,5.828,267.637,487.908,11.943,90.619,2.906,0
8.3,206.16,35216.386,6.441,347.062,399.484,16.066,79.955,3.955,0
7.1,233.85,21136.287,6.69,333.776,332.738,9.745,77.53,3.311,0
7.1,237.677,26009.075,7.075,372.6,344.768,14.442,72.696,3.707,0
9.5,234.07,15513.74,4.735,333.776,277.97,16.698,81.427,4.22,0
7.8,190.799,7695.064,4.845,292.516,507.445,15.527,85.01,4.589,0
4.4,139.686,28862.257,8.961,298.379,434.781,17.299,63.043,4.385,0
7.2,201.187,23783.1,7.751,340.984,579.22,13.486,62.65,3.556,0
7.1,260.205,19517.725,8.764,368.821,251.021,12.805,48.652,3.666,0
6.9,174.185,24112.153,5.53,297.656,484.123,11.483,65.304,3.824,0
6.1,200.278,30989.948,8.83,348.868,341.389,9.3,79.554,4.616,0
7.9,278.056,27192.281,9.22,424.788,358.782,15.054,56.84,3.659,0
6.5,181.873,29136.815,7.686,345.752,475.341,12.321,52.438,4.85,0
5.3,232.369,37625.753,8.88,380.576,580.898,12.294,55.31,2.881,0
6.8,168.937,11067.181,7.121,305.795,289.542,18.546,62.002,5.221,0
5.9,141.615,13652.293,5.702,279.782,538.495,12.034,67.907,4.032,0
9.5,201.955,9472.615,6.106,319.576,259.637,15.626,66.396,2.768,0
6.3,225.028,45222.507,5.809,363.006,435.5,11.386,80.67,3.686,0
8.7,284.098,27088.476,7.898,333.776,512.277,16.912,72.466,3.67,0
5.7,146.59,16462.46,6.502,299.645,272.441,13.795,87.823,5.199,0
6.6,112.299,25839.894,7.659,312.247,327.248,19.409,85.785,4.194,0
7.8,176.866,18344.68,7.568,338.23,371.217,9.039,76.288,4.173,0
7.6,261.566,18371.057,6.298,333.776,387.63,16.576,51.831,3.377,0
7.4,185.692,16268.449,5.317,316.919,419.258,16.024,64.679,4.409,0
9.3,129.824,16002.138,4.405,271.671,499.844,13.077,82.838,4.206,0
3.7,248.859,23590.932,7.684,351.555,427.496,20.394,38.605,2.718,0
6.7,216.441,20571.846,8.984,333.776,336.831,17.746,71.704,2.952,0
9.9,214.166,15326.856,3.352,297.084,424.293,19.188,70.071,3.355,0
5.6,229.192,35370.736,7.99,333.776,469.413,13.282,76.993,4.727,0
5.6,229.123,31344.46,7.761,333.776,306.873,13.975,87.273,2.096,0
4.1,125.475,11215.946,5.366,261.445,445.241,18.576,86.434,4.46,0
6.0,230.449,16324.115,5.294,315.186,327.787,13.326,39.554,5.429,0
7.1,229.771,16162.262,4.934,333.776,448.846,8.816,66.396,4.601,0
8.4,183.5,12975.9,6.601,315.901,493.465,12.987,87.029,3.63,0
6.3,190.018,12206.681,7.911,333.776,395.261,13.246,58.928,3.377,0
11.3,161.896,6040.37,7.205,333.776,316.536,11.768,25.525,4.153,0
9.3,163.039,13990.513,4.25,333.776,399.477,15.366,83.923,3.681,0
7.9,154.266,7769.616,7.205,258.313,407.732,16.42,63.016,4.237,0
7.9,269.809,34440.773,6.958,390.104,425.628,13.749,56.636,3.701,0
10.0,224.266,14962.178,7.428,336.973,517.513,18.859,65.363,4.182,0
6.5,225.482,34864.428,8.952,385.506,324.51,12.697,97.113,4.592,0
5.9,207.725,22244.218,6.598,352.564,465.616,14.838,77.823,4.689,0
7.1,220.814,21410.32,6.325,335.846,382.198,9.5,86.99,3.66,0
5.3,160.968,25299.512,6.286,300.501,497.79,15.013,61.116,4.166,0
7.5,186.918,11642.728,5.891,333.776,363.506,10.74,49.574,3.463,0
4.1,207.838,18194.954,7.924,333.776,288.365,13.307,35.825,2.759,0
7.1,105.859,37928.142,5.609,333.776,358.889,12.207,71.12,3.874,0
7.1,189.145,4304.492,3.616,259.373,400.904,12.993,63.902,3.417,0
6.3,213.445,24846.142,8.373,333.776,543.392,17.917,84.579,5.304,0
8.0,276.734,17162.398,7.842,397.432,514.422,14.53,60.56,3.451,0
8.9,228.922,28487.709,5.319,351.961,474.773,14.684,52.579,4.007,0
7.1,192.447,18257.569,7.472,313.777,462.402,13.932,53.186,4.358,0
6.6,141.129,25648.569,7.223,295.237,374.77,14.038,74.299,3.54,0
7.7,137.318,16723.977,7.676,282.54,595.329,18.756,63.043,2.149,0
9.9,238.713,10704.603,6.11,351.597,405.9,13.55,59.463,4.704,0
9.0,202.991,19523.125,7.245,330.362,366.492,15.689,55.697,4.905,0
5.1,273.408,26307.298,10.22,380.201,513.878,18.272,61.425,4.352,0
8.6,263.765,23220.121,6.394,383.963,588.853,13.58,86.192,4.754,0
7.1,112.82,8580.246,4.21,234.853,434.748,23.4,94.16,3.888,0
7.7,180.701,12105.722,5.397,296.239,469.836,15.832,61.802,3.779,0
7.1,133.813,18272.506,5.912,333.776,415.212,11.505,92.976,3.313,0
6.4,208.76,30759.681,7.768,333.776,523.6,20.233,66.396,3.095,0
4.4,178.956,25008.532,4.949,298.577,429.545,17.73,56.348,3.268,0
7.0,183.243,23114.446,6.501,323.156,470.079,16.083,65.996,4.767,0
6.6,203.03,17167.301,6.05,311.726,410.243,15.915,65.021,2.915,0
3.7,201.097,28102.757,5.682,330.024,291.148,17.471,75.102,3.316,0
4.8,205.214,17650.405,8.121,350.488,414.031,10.999,47.403,5.191,0
5.8,199.586,24160.354,9.458,333.776,428.553,16.023,64.873,4.656,0
6.9,177.578,12626.198,7.381,333.776,439.625,9.348,83.163,3.724,0
7.4,208.094,28544.616,6.5,339.024,522.794,17.115,65.311,3.728,0
4.7,252.275,22833.192,5.922,378.56,411.295,16.585,66.728,3.918,0
9.4,265.061,15156.79,4.272,333.334,503.171,11.286,99.016,4.034,0
7.8,187.315,20418.89,7.215,325.229,351.186,16.8,68.485,4.034,0
9.4,143.788,20724.93,7.7,333.776,469.761,14.216,66.078,4.411,0
9.4,216.762,27948.589,6.156,355.473,347.983,16.341,32.108,3.097,0
6.3,207.258,8532.14,5.988,286.489,491.765,10.547,74.503,4.501,0
7.1,217.37,17984.327,8.594,333.776,409.221,10.214,18.4,3.605,0
4.7,103.174,19555.765,6.767,333.776,370.178,9.183,93.9,3.437,0
8.9,222.256,8870.903,6.011,332.003,425.227,10.848,66.396,3.701,0
6.6,272.983,37169.444,8.115,416.083,351.477,15.129,79.261,4.202,0
6.8,231.26,18536.699,8.757,342.548,385.115,13.889,79.302,5.163,0
9.4,145.805,13168.529,9.444,310.583,592.659,8.606,77.577,3.875,1
9.0,128.097,19859.676,8.016,300.15,451.143,14.771,73.778,3.985,1
7.1,169.975,23403.637,8.52,333.776,475.574,12.924,50.862,2.747,1
6.8,242.008,39143.403,9.502,187.171,376.457,11.432,73.777,3.855,1
7.2,203.409,20401.102,7.682,287.086,315.55,14.534,74.406,3.94,1
7.7,236.961,14245.789,6.289,373.165,416.624,10.464,85.853,2.437,1
8.3,207.252,28049.646,8.827,297.813,358.726,18.709,60.911,4.052,1
5.9,223.858,23249.654,4.603,333.776,277.385,11.367,66.624,5.218,1
9.8,98.772,27357.457,9.218,323.199,512.429,14.169,59.454,2.765,1
6.1,215.268,15976.926,8.857,308.483,417.844,13.147,62.506,3.536,1
5.0,280.082,26849.195,6.131,374.233,297.612,15.572,70.56,3.405,1
4.8,217.687,16392.135,7.461,278.742,481.481,15.517,77.693,4.375,1
6.5,278.585,25508.387,6.749,366.872,497.322,16.563,79.324,3.612,1
13.2,47.432,19237.95,8.907,375.147,500.246,12.084,66.396,4.107,1
6.6,233.662,19598.861,4.701,432.556,401.67,11.766,73.192,4.438,1
7.8,212.691,29879.06,6.999,360.668,359.569,14.829,83.856,3.369,1
5.2,211.094,14866.104,7.239,323.109,388.717,17.78,83.505,3.86,1
5.6,230.858,14442.419,5.21,333.776,346.553,11.369,43.195,1.943,1
6.9,251.293,21728.821,8.803,279.777,539.467,12.994,56.41,4.727,1
9.1,155.358,15737.469,7.252,343.234,463.389,17.854,83.175,3.652,1
7.3,127.544,27784.048,9.754,247.335,439.649,17.285,59.556,5.329,1
7.3,175.22,22644.766,7.887,293.31,373.346,17.412,56.799,5.062,1
6.5,229.264,22475.047,12.58,192.034,479.501,9.983,66.669,4.613,1
7.2,175.87,35804.293,8.066,320.102,468.563,16.164,71.147,3.763,1
7.1,156.521,16146.157,6.63,352.353,629.281,13.508,42.34,3.773,1
5.3,280.09,35344.658,13.044,180.207,392.421,10.505,55.085,4.427,1
7.1,169.469,29846.719,5.443,350.402,353.03,18.96,30.389,3.486,1
5.3,224.788,28897.492,6.049,333.776,360.179,12.247,67.155,5.091,1
10.8,81.711,25999.954,8.477,318.427,392.704,12.716,52.247,4.662,1
6.3,258.3,13777.376,7.483,328.681,563.435,16.461,73.517,4.105,1
9.8,129.871,20682.732,9.391,291.98,427.124,11.853,78.711,2.945,1
8.2,167.102,13933.085,10.423,243.486,391.069,13.747,61.058,4.976,1
6.9,173.334,20111.821,6.697,333.776,374.485,19.937,66.396,4.563,1
10.4,136.324,48621.564,9.159,327.923,365.72,17.976,77.36,4.202,1
8.0,171.484,23625.814,9.538,259.98,327.624,16.117,107.754,4.698,1
3.9,243.808,7751.809,0.53,333.776,341.291,12.991,60.11,3.734,1
5.7,216.043,15949.153,7.501,333.776,372.535,17.896,77.458,3.833,1
10.0,143.094,46113.957,12.912,333.776,574.555,16.963,36.768,4.746,1
6.6,198.807,34006.421,8.691,274.904,477.164,14.37,78.173,4.688,1
7.6,156.794,26244.037,8.338,255.043,495.967,13.634,65.605,4.182,1
4.8,268.721,17862.369,4.555,377.241,608.847,10.806,83.702,3.259,1
7.7,181.938,6552.626,5.389,390.596,516.284,17.011,58.242,4.289,1
8.3,211.217,20008.135,8.768,275.767,475.909,12.615,66.613,3.425,1
6.2,225.683,12883.726,4.739,333.776,389.406,14.56,76.458,3.467,1
9.0,121.441,15618.17,6.157,372.927,390.657,15.03,63.126,4.927,1
6.1,236.674,8081.466,6.251,333.776,416.239,12.777,106.037,3.261,1
7.1,178.372,25840.579,7.488,312.983,323.299,16.406,69.158,3.419,1
7.1,191.285,21948.325,5.627,355.489,509.407,16.691,84.108,4.11,1
5.4,187.777,35902.716,4.357,333.776,454.52,6.374,103.373,4.507,1
8.1,195.805,29483.602,10.494,298.737,321.748,9.751,72.734,3.683,1
7.1,225.288,22511.693,7.058,377.129,291.354,11.59,72.509,4.082,1
10.0,132.833,11557.032,8.551,323.508,442.768,13.376,92.176,5.133,1
5.7,229.928,16953.899,8.774,293.574,554.121,14.255,54.437,3.633,1
7.1,181.689,27776.18,7.59,298.227,417.631,8.63,72.923,3.808,1
8.9,135.938,27919.771,12.363,333.776,415.629,11.95,69.315,4.156,1
6.4,225.613,15596.473,6.153,333.776,466.044,18.015,87.164,4.185,1
7.0,201.715,11348.676,4.298,333.776,468.591,10.491,89.686,4.979,1
5.9,203.33,19216.683,9.213,333.776,420.291,11.119,65.23,5.412,1
6.8,187.783,15300.839,7.487,316.957,498.666,19.6,55.401,5.163,1
10.0,113.831,16266.434,7.939,363.867,557.486,13.195,75.233,3.808,1
7.1,273.256,44506.442,8.413,233.793,485.647,14.705,52.164,4.125,1
7.3,235.735,36043.707,5.196,377.191,385.614,17.053,89.624,4.169,1
7.1,161.826,29299.123,7.029,350.431,375.781,19.763,86.698,3.498,1
5.9,185.065,44069.272,4.383,412.69,331.57,15.306,59.606,5.507,1
7.3,174.48,33991.652,9.512,259.165,435.108,16.294,81.69,4.467,1
8.1,200.493,11567.888,9.89,333.776,510.414,10.651,40.993,4.472,1
7.8,157.182,23318.188,9.084,324.852,294.637,17.187,72.568,3.533,1
11.3,77.46,39227.619,8.518,337.501,410.856,14.327,53.121,3.31,1
6.6,233.514,25589.611,9.786,333.776,489.703,14.39,46.464,2.347,1
9.2,119.842,26618.06,6.106,343.289,379.725,10.9,54.581,4.888,1
7.1,144.815,14507.018,5.819,353.607,290.889,8.942,67.587,5.923,1
4.6,307.706,16115.93,7.707,333.776,439.944,18.441,60.146,3.983,1
7.8,188.395,32704.569,11.079,258.191,507.179,18.272,85.178,4.107,1
5.6,256.209,11245.736,7.212,329.338,369.556,15.64,51.15,2.286,1
7.9,213.053,38852.03,11.171,281.701,326.115,10.385,64.663,4.59,1
7.4,193.125,13551.953,4.313,333.776,430.487,19.396,72.076,2.665,1
3.7,275.767,23736.816,9.101,333.776,426.231,17.986,55.695,3.315,1
9.6,167.089,21153.323,7.944,346.075,335.198,14.348,50.642,5.145,1
7.0,212.764,29957.191,7.675,321.251,378.086,13.128,72.089,3.99,1
7.7,152.878,22989.351,6.232,343.439,401.141,14.253,64.291,4.268,1
6.7,220.1,24694.744,8.374,333.776,384.309,6.748,8.176,4.063,1
7.1,163.224,18570.285,8.109,296.19,463.742,16.9,61.35,4.136,1
5.4,240.018,18189.395,5.552,397.7,551.476,12.819,79.78,4.173,1
7.0,264.526,15978.355,10.956,262.065,412.709,5.315,76.024,4.972,1
7.1,250.705,27355.934,6.482,377.358,559.818,13.654,77.918,2.969,1
10.0,94.091,25510.097,6.614,385.403,388.467,11.887,69.274,3.736,1
5.6,261.234,35278.682,6.595,333.776,278.639,13.565,83.275,3.87,1
8.0,221.37,18621.425,6.879,333.776,309.255,19.057,72.689,5.26,1
5.5,254.673,21082.852,8.369,347.817,469.795,13.496,60.046,4.178,1
7.5,161.623,19116.012,8.493,289.96,440.283,13.337,80.243,3.631,1
6.8,159.188,12837.506,5.164,373.992,558.816,12.254,69.772,4.397,1
7.1,181.211,30280.789,10.383,256.63,487.997,11.346,68.844,3.78,1
5.9,282.739,15244.846,6.637,363.385,695.37,13.138,89.801,3.661,1
8.7,153.98,11734.449,7.124,333.776,447.028,12.736,39.928,3.205,1
6.0,221.147,16656.063,5.202,333.776,383.208,22.518,81.626,4.422,1
9.6,173.111,38787.463,5.15,444.971,492.412,12.904,48.481,4.198,1
4.3,278.148,19672.487,4.955,414.637,330.067,11.293,70.666,4.163,1
3.6,323.124,38969.389,8.926,333.776,514.763,10.16,71.1,3.966,1
8.5,157.7,18203.73,8.927,309.542,498.651,12.288,52.029,3.776,1
8.1,174.121,21366.284,7.491,315.18,497.019,11.417,46.213,3.756,1
9.2,186.673,15797.03,8.151,333.812,425.752,12.183,112.623,4.525,1
8.8,188.92,32033.332,13.127,182.397,479.792,12.07,77.671,4.015,1
9.5,185.879,18088.355,7.527,388.769,409.451,12.398,63.359,4.169,1
8.1,198.994,9025.079,7.218,338.397,328.433,9.143,42.753,3.635,1
2.8,311.384,26931.243,7.117,333.776,521.141,14.235,42.08,3.663,1
6.4,188.98,11965.397,7.571,365.454,502.991,13.866,96.818,3.732,1
